fixed acidity,residual sugar,free sulfur dioxide,total sulfur dioxide,pH,sulphates,alcohol,type
MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
Medium,High,High,High,MediumHigh,MediumHigh,Medium,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
High,MediumHigh,MediumHigh,Medium,Medium,MediumLow,High,White
High,High,High,High,MediumLow,MediumLow,MediumHigh,White
High,Medium,MediumHigh,MediumLow,MediumHigh,High,High,Red
MediumLow,MediumHigh,MediumLow,Medium,High,MediumHigh,Medium,White
Medium,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumLow,MediumHigh,High,High,High,Medium,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,High,White
MediumLow,Medium,MediumLow,MediumLow,High,Medium,Medium,Red
MediumHigh,MediumLow,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,White
MediumHigh,Medium,Medium,MediumLow,High,High,MediumHigh,Red
Medium,MediumLow,MediumHigh,Medium,Medium,Medium,High,White
MediumLow,High,Medium,High,High,High,High,White
Medium,MediumLow,MediumHigh,High,Medium,MediumHigh,Medium,White
MediumHigh,MediumLow,Medium,High,High,MediumHigh,Medium,White
MediumHigh,Medium,Medium,MediumLow,High,High,Medium,Red
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumLow,High,White
MediumLow,MediumLow,High,Medium,High,MediumHigh,High,White
Medium,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,Medium,MediumLow,MediumLow,High,MediumHigh,High,Red
High,MediumLow,High,MediumHigh,Medium,MediumHigh,MediumHigh,White
High,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
Medium,MediumHigh,Medium,MediumHigh,MediumHigh,Medium,High,White
MediumLow,MediumLow,Medium,Medium,High,Medium,High,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
Medium,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumLow,MediumHigh,High,High,High,High,Medium,White
MediumLow,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
High,Medium,MediumHigh,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,Medium,High,High,MediumLow,Medium,High,White
High,MediumLow,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,High,High,MediumHigh,Medium,High,White
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
Medium,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,Medium,White
Medium,Medium,MediumHigh,MediumHigh,High,MediumHigh,High,White
High,Medium,MediumHigh,MediumLow,High,High,High,Red
Medium,MediumLow,Medium,Medium,High,High,MediumHigh,White
High,MediumHigh,Medium,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumLow,High,High,High,MediumHigh,MediumLow,MediumLow,White
Medium,High,High,High,Medium,MediumLow,Medium,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,High,White
Medium,High,High,High,Medium,MediumHigh,MediumLow,White
MediumHigh,High,High,Medium,Medium,MediumLow,Medium,White
MediumLow,Medium,Medium,MediumLow,High,High,Medium,Red
Medium,High,High,High,Medium,High,MediumLow,White
Medium,MediumLow,Medium,MediumLow,High,High,MediumHigh,Red
MediumHigh,MediumLow,High,Medium,MediumLow,MediumLow,High,White
MediumLow,High,MediumLow,Medium,MediumHigh,MediumLow,High,White
MediumLow,High,MediumHigh,High,Medium,MediumHigh,Medium,White
High,Medium,Medium,MediumLow,High,High,MediumHigh,Red
High,High,High,MediumHigh,Medium,Medium,Medium,White
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,Medium,Medium,White
Medium,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,MediumHigh,Medium,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,MediumLow,Red
MediumHigh,High,Medium,MediumHigh,MediumLow,Medium,MediumLow,White
High,Medium,Medium,MediumLow,High,High,Medium,Red
MediumLow,MediumHigh,Medium,Medium,High,MediumLow,High,White
MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,Medium,High,White
MediumLow,MediumHigh,Medium,Medium,Medium,MediumLow,High,White
High,Medium,MediumHigh,MediumLow,MediumLow,High,MediumHigh,Red
MediumHigh,High,Medium,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
High,High,High,High,Medium,Medium,MediumHigh,White
MediumLow,MediumHigh,High,High,Medium,MediumLow,MediumLow,White
Medium,MediumHigh,High,High,Medium,Medium,Medium,White
MediumHigh,MediumHigh,High,MediumHigh,Medium,High,High,White
High,MediumHigh,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,High,MediumHigh,MediumHigh,Medium,High,Medium,White
MediumLow,Medium,MediumLow,MediumLow,High,MediumHigh,MediumLow,Red
MediumLow,MediumHigh,High,High,MediumHigh,MediumLow,MediumLow,White
Medium,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumLow,MediumLow,High,MediumHigh,MediumHigh,High,MediumHigh,White
High,High,High,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumLow,MediumHigh,Medium,MediumHigh,High,Medium,MediumHigh,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,High,MediumHigh,Red
High,High,MediumHigh,High,MediumHigh,High,MediumHigh,White
Medium,MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,MediumHigh,White
High,High,High,MediumHigh,MediumLow,MediumLow,High,White
High,Medium,Medium,MediumHigh,MediumHigh,High,MediumLow,Red
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumLow,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,White
Medium,High,High,High,MediumLow,MediumHigh,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumLow,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,Medium,White
MediumHigh,High,High,High,Medium,High,MediumLow,White
Medium,Medium,MediumLow,MediumLow,High,High,High,Red
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,MediumHigh,High,High,High,High,MediumHigh,White
MediumHigh,High,MediumHigh,High,High,High,Medium,White
High,MediumHigh,MediumHigh,High,Medium,MediumHigh,MediumHigh,White
MediumLow,MediumLow,MediumHigh,Medium,Medium,MediumLow,High,White
High,MediumHigh,MediumLow,MediumLow,High,High,Medium,Red
Medium,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,MediumLow,MediumHigh,Medium,MediumHigh,High,MediumHigh,White
MediumHigh,High,MediumLow,High,Medium,High,Medium,White
Medium,High,High,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
High,Medium,Medium,Medium,Medium,MediumLow,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,White
MediumLow,High,MediumHigh,Medium,High,MediumLow,MediumHigh,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumHigh,MediumLow,White
Medium,High,High,High,MediumLow,Medium,MediumLow,White
MediumLow,Medium,High,MediumHigh,High,High,High,White
MediumHigh,High,Medium,High,Medium,Medium,Medium,White
Medium,MediumHigh,MediumLow,High,MediumHigh,MediumHigh,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,Medium,White
Medium,Medium,Medium,MediumLow,High,High,Medium,Red
MediumLow,MediumHigh,High,High,Medium,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumLow,MediumLow,White
Medium,High,High,High,MediumHigh,MediumHigh,Medium,White
Medium,High,High,High,MediumLow,Medium,MediumLow,White
MediumHigh,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,High,Red
High,MediumLow,MediumLow,MediumLow,High,High,Medium,Red
Medium,Medium,MediumHigh,MediumLow,High,High,MediumHigh,Red
MediumLow,MediumLow,High,High,MediumHigh,MediumLow,MediumHigh,White
High,MediumLow,Medium,Medium,MediumLow,MediumLow,High,White
High,High,MediumLow,Medium,Medium,MediumLow,MediumHigh,White
MediumLow,MediumHigh,MediumHigh,Medium,High,MediumHigh,Medium,White
MediumLow,MediumLow,MediumHigh,Medium,High,High,High,Red
MediumHigh,High,High,High,Medium,High,MediumLow,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,Medium,Red
Medium,High,High,MediumHigh,MediumHigh,High,MediumHigh,White
MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,MediumLow,High,White
High,Medium,MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,Red
Medium,MediumLow,MediumLow,MediumLow,Medium,MediumHigh,Medium,White
MediumLow,Medium,Medium,MediumLow,High,MediumHigh,High,Red
MediumHigh,Medium,MediumLow,MediumLow,High,MediumHigh,Medium,Red
High,MediumHigh,Medium,Medium,MediumLow,MediumLow,Medium,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,High,White
Medium,MediumLow,High,MediumHigh,Medium,MediumLow,Medium,White
High,MediumHigh,Medium,Medium,MediumHigh,High,MediumLow,Red
Medium,Medium,High,High,High,High,MediumHigh,White
High,Medium,Medium,Medium,Medium,MediumHigh,Medium,Red
Medium,High,MediumHigh,Medium,MediumHigh,High,High,White
Medium,MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumHigh,White
MediumHigh,High,Medium,High,MediumLow,MediumHigh,MediumLow,White
High,High,High,High,Medium,MediumHigh,Medium,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,MediumHigh,Medium,MediumLow,Red
MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumLow,MediumLow,White
High,Medium,Medium,MediumLow,MediumLow,High,High,Red
High,High,MediumLow,Medium,Medium,MediumLow,MediumHigh,White
Medium,High,High,High,High,Medium,Medium,White
Medium,MediumHigh,MediumLow,Medium,MediumLow,Medium,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,MediumHigh,Red
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumLow,MediumHigh,High,High,High,MediumLow,High,White
Medium,High,Medium,Medium,MediumLow,Medium,High,White
MediumLow,MediumHigh,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,MediumLow,MediumHigh,Medium,Medium,High,Medium,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,MediumLow,Medium,Medium,High,High,MediumHigh,White
High,MediumLow,MediumLow,MediumLow,Medium,Medium,Medium,Red
High,Medium,MediumLow,Medium,MediumHigh,MediumHigh,Medium,Red
Medium,MediumLow,MediumLow,Medium,MediumLow,MediumLow,High,White
Medium,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,Red
MediumHigh,High,High,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumLow,MediumHigh,MediumHigh,High,Medium,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
Medium,High,High,High,High,MediumLow,Medium,White
Medium,MediumLow,Medium,High,High,MediumHigh,MediumHigh,White
MediumHigh,MediumLow,MediumLow,Medium,MediumLow,High,MediumHigh,White
High,MediumLow,MediumHigh,High,Medium,Medium,Medium,White
High,MediumHigh,MediumHigh,MediumLow,MediumHigh,Medium,Medium,Red
Medium,MediumHigh,MediumLow,MediumLow,High,High,MediumLow,Red
MediumLow,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
High,Medium,MediumHigh,MediumLow,MediumHigh,High,Medium,Red
MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,Medium,MediumLow,Red
Medium,High,Medium,Medium,Medium,Medium,High,White
MediumLow,MediumLow,MediumHigh,Medium,MediumLow,High,High,White
MediumLow,MediumHigh,MediumHigh,MediumHigh,High,MediumLow,High,White
MediumHigh,Medium,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,MediumLow,MediumHigh,High,Medium,MediumHigh,High,White
MediumLow,MediumLow,Medium,Medium,MediumHigh,MediumLow,Medium,White
MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,High,Medium,High,MediumHigh,MediumHigh,Medium,White
High,MediumLow,MediumLow,Medium,MediumLow,MediumLow,Medium,White
High,MediumLow,High,MediumHigh,MediumHigh,High,Medium,White
MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,High,White
MediumHigh,MediumLow,Medium,MediumHigh,Medium,Medium,Medium,White
Medium,MediumLow,Medium,Medium,High,Medium,Medium,White
MediumHigh,MediumHigh,MediumHigh,Medium,MediumHigh,Medium,MediumHigh,White
MediumLow,MediumHigh,MediumLow,Medium,MediumHigh,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,High,High,Medium,Medium,MediumLow,White
High,MediumHigh,MediumLow,MediumLow,Medium,High,High,Red
MediumLow,MediumLow,Medium,MediumLow,High,Medium,High,Red
MediumHigh,MediumLow,MediumLow,MediumLow,High,MediumHigh,MediumHigh,Red
MediumLow,High,Medium,Medium,MediumLow,Medium,High,White
MediumHigh,Medium,MediumHigh,Medium,MediumHigh,Medium,High,White
High,Medium,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
Medium,Medium,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,High,MediumLow,Medium,MediumLow,MediumLow,MediumLow,White
MediumLow,MediumLow,Medium,Medium,Medium,MediumLow,High,White
Medium,MediumLow,MediumLow,High,High,MediumHigh,Medium,White
High,High,MediumHigh,High,MediumLow,MediumHigh,High,Red
High,MediumLow,MediumLow,Medium,MediumLow,High,MediumHigh,White
Medium,MediumHigh,High,High,MediumHigh,MediumLow,High,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,High,White
MediumHigh,High,MediumHigh,High,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,Medium,Medium,Medium,High,Medium,White
High,MediumHigh,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,Red
MediumLow,MediumLow,Medium,MediumLow,High,High,High,Red
High,High,MediumHigh,High,MediumLow,Medium,Medium,White
MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
MediumLow,High,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
MediumHigh,High,High,High,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumHigh,Medium,MediumHigh,Medium,MediumHigh,High,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,High,High,Red
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
MediumLow,MediumHigh,MediumHigh,High,High,High,Medium,White
Medium,Medium,MediumLow,Medium,MediumLow,MediumLow,MediumHigh,White
High,MediumHigh,MediumHigh,MediumHigh,High,High,MediumHigh,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,Red
High,High,MediumHigh,High,MediumLow,High,MediumLow,White
MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,Medium,Medium,White
Medium,High,High,High,MediumLow,MediumLow,MediumLow,White
Medium,High,MediumHigh,MediumHigh,High,MediumHigh,Medium,White
MediumHigh,MediumHigh,High,Medium,MediumHigh,Medium,Medium,Red
High,Medium,MediumLow,MediumLow,MediumLow,High,High,Red
MediumHigh,MediumLow,Medium,MediumHigh,Medium,High,MediumHigh,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,High,White
High,Medium,MediumLow,MediumLow,Medium,High,Medium,Red
MediumHigh,MediumHigh,High,High,High,MediumHigh,Medium,White
MediumLow,MediumHigh,High,MediumHigh,Medium,MediumLow,High,White
High,Medium,MediumHigh,MediumLow,High,MediumHigh,High,Red
MediumHigh,High,High,High,MediumLow,High,MediumLow,White
High,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
Medium,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumLow,White
MediumLow,Medium,MediumLow,MediumLow,High,High,Medium,Red
MediumLow,Medium,High,High,High,High,High,White
MediumHigh,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumHigh,Red
Medium,High,MediumHigh,MediumHigh,High,MediumLow,High,White
Medium,High,High,High,MediumHigh,MediumLow,Medium,White
MediumLow,MediumHigh,Medium,Medium,High,Medium,Medium,White
MediumHigh,MediumLow,Medium,MediumLow,High,MediumLow,MediumHigh,White
MediumHigh,MediumHigh,High,High,Medium,MediumHigh,MediumHigh,White
Medium,MediumHigh,High,Medium,MediumHigh,MediumLow,High,White
MediumHigh,High,MediumHigh,High,Medium,MediumLow,High,White
High,MediumHigh,MediumLow,MediumLow,MediumLow,High,Medium,Red
MediumLow,Medium,MediumHigh,Medium,High,Medium,MediumLow,White
MediumHigh,MediumLow,Medium,MediumLow,High,High,Medium,Red
Medium,Medium,Medium,MediumHigh,High,Medium,High,White
High,Medium,MediumLow,Medium,MediumHigh,MediumHigh,MediumLow,Red
Medium,MediumLow,MediumHigh,MediumHigh,High,High,High,White
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
MediumLow,MediumLow,Medium,MediumHigh,High,MediumHigh,High,White
High,MediumLow,MediumHigh,High,MediumLow,MediumHigh,High,White
Medium,MediumLow,Medium,Medium,MediumLow,MediumLow,High,White
MediumHigh,Medium,MediumLow,MediumLow,High,Medium,Medium,Red
Medium,High,MediumHigh,MediumHigh,Medium,Medium,MediumLow,White
MediumHigh,MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,White
MediumHigh,MediumHigh,High,High,Medium,Medium,MediumLow,White
MediumHigh,MediumLow,Medium,MediumHigh,MediumLow,High,MediumHigh,White
Medium,MediumHigh,Medium,MediumLow,High,High,Medium,Red
Medium,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,MediumHigh,White
High,MediumLow,High,High,MediumLow,Medium,Medium,White
Medium,MediumLow,Medium,MediumHigh,MediumHigh,Medium,MediumHigh,White
Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,MediumLow,High,White
Medium,Medium,MediumHigh,MediumHigh,MediumLow,Medium,High,White
MediumLow,Medium,MediumLow,MediumLow,MediumLow,High,High,White
MediumLow,MediumHigh,Medium,Medium,High,MediumHigh,Medium,White
High,MediumHigh,MediumLow,MediumLow,Medium,MediumLow,Medium,White
High,Medium,MediumLow,MediumLow,High,High,MediumLow,Red
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumHigh,White
MediumHigh,Medium,MediumHigh,MediumHigh,MediumLow,MediumHigh,MediumLow,White
Medium,High,Medium,MediumHigh,MediumLow,MediumLow,MediumHigh,White
Medium,Medium,MediumHigh,MediumLow,MediumHigh,MediumHigh,MediumHigh,Red
MediumHigh,Medium,MediumLow,MediumLow,MediumLow,High,Medium,Red
MediumLow,Medium,MediumLow,MediumLow,High,High,High,Red
High,MediumLow,High,Medium,MediumLow,Medium,High,White
MediumHigh,MediumLow,MediumLow,MediumHigh,MediumLow,MediumLow,MediumLow,White
High,High,MediumLow,MediumLow,MediumLow,MediumLow,High,White
High,High,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,White
High,MediumHigh,MediumHigh,MediumHigh,Medium,High,Medium,White
Medium,MediumLow,Medium,Medium,High,MediumLow,MediumHigh,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,Medium,Red
Medium,High,Medium,MediumHigh,Medium,MediumHigh,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
High,High,Medium,High,MediumLow,High,Medium,White
MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,MediumHigh,MediumLow,White
MediumHigh,Medium,MediumLow,MediumLow,Medium,MediumLow,MediumHigh,White
MediumLow,MediumLow,High,Medium,Medium,MediumLow,High,White
High,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumHigh,Red
MediumHigh,High,High,High,MediumLow,Medium,MediumLow,White
MediumLow,High,High,MediumHigh,Medium,MediumLow,MediumHigh,White
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumLow,MediumLow,Medium,MediumHigh,MediumHigh,Medium,Medium,White
MediumHigh,Medium,MediumLow,MediumLow,High,High,Medium,Red
High,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,Medium,Red
High,Medium,MediumLow,MediumLow,Medium,MediumHigh,Medium,Red
MediumHigh,High,MediumHigh,High,MediumLow,Medium,Medium,White
MediumHigh,High,Medium,MediumHigh,MediumLow,Medium,MediumLow,White
Medium,MediumLow,MediumHigh,High,Medium,Medium,High,White
Medium,Medium,MediumLow,MediumLow,MediumHigh,High,High,Red
Medium,MediumLow,MediumHigh,Medium,High,High,MediumHigh,White
MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,Red
MediumLow,High,Medium,Medium,High,Medium,MediumHigh,Red
MediumLow,Medium,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
High,Medium,MediumHigh,Medium,MediumHigh,High,MediumHigh,Red
MediumHigh,MediumLow,MediumHigh,Medium,Medium,MediumHigh,MediumHigh,White
Medium,MediumHigh,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,White
Medium,Medium,Medium,MediumHigh,High,High,Medium,White
Medium,MediumHigh,MediumHigh,Medium,Medium,MediumLow,High,White
MediumLow,Medium,MediumLow,MediumLow,MediumLow,Medium,Medium,White
Medium,MediumHigh,High,High,Medium,MediumLow,High,White
High,High,MediumLow,Medium,MediumLow,MediumLow,MediumHigh,White
MediumHigh,Medium,Medium,MediumLow,MediumHigh,MediumHigh,Medium,Red
High,Medium,MediumLow,MediumLow,High,Medium,MediumLow,Red
High,High,High,High,MediumLow,MediumLow,High,White
MediumHigh,MediumHigh,MediumHigh,High,MediumHigh,MediumLow,Medium,White
High,MediumLow,MediumLow,MediumHigh,Medium,Medium,MediumLow,White
Medium,High,MediumLow,Medium,MediumLow,MediumHigh,MediumLow,White
Medium,High,High,MediumHigh,Medium,Medium,MediumLow,White
High,High,MediumHigh,Medium,MediumHigh,MediumLow,MediumLow,White
MediumLow,Medium,MediumHigh,Medium,MediumHigh,High,High,White
MediumLow,MediumLow,MediumLow,MediumLow,High,MediumLow,High,White
High,MediumLow,High,MediumHigh,MediumLow,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,High,High,Medium,Medium,Medium,White
High,MediumLow,MediumLow,MediumLow,MediumHigh,High,Medium,Red
High,Medium,Medium,MediumLow,Medium,High,MediumLow,Red
High,MediumHigh,MediumHigh,MediumHigh,High,High,MediumHigh,White
High,High,MediumHigh,High,Medium,MediumLow,High,White
Medium,Medium,MediumLow,MediumLow,MediumHigh,MediumHigh,High,Red
MediumHigh,MediumLow,Medium,High,MediumHigh,MediumHigh,MediumHigh,White
MediumLow,MediumHigh,High,MediumHigh,MediumHigh,MediumHigh,MediumLow,White
Medium,MediumHigh,High,High,MediumHigh,Medium,MediumHigh,White
High,MediumHigh,MediumLow,MediumLow,Medium,High,High,Red
MediumLow,MediumHigh,MediumLow,MediumHigh,Medium,MediumLow,MediumLow,White
MediumLow,High,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,White
Medium,Medium,Medium,Medium,High,MediumLow,High,White
Medium,High,High,High,MediumLow,MediumHigh,Medium,White
Medium,High,High,MediumHigh,MediumHigh,MediumLow,MediumLow,White
MediumHigh,Medium,High,MediumLow,High,MediumHigh,Medium,Red
Medium,MediumHigh,MediumHigh,MediumHigh,Medium,MediumLow,MediumLow,White
MediumHigh,High,High,Medium,MediumLow,Medium,MediumLow,White
MediumHigh,MediumLow,Medium,High,MediumHigh,MediumLow,High,White
MediumHigh,High,High,High,Medium,Medium,MediumLow,White
MediumHigh,MediumHigh,High,High,Medium,MediumHigh,Medium,White
Medium,MediumHigh,MediumHigh,Medium,High,High,Medium,White
Medium,Medium,MediumLow,MediumLow,High,High,MediumHigh,Red
High,MediumHigh,Medium,Medium,High,Medium,Medium,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,High,High,MediumHigh,Red
High,Medium,MediumLow,MediumLow,MediumLow,MediumHigh,MediumHigh,Red
MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
Medium,High,MediumHigh,MediumHigh,MediumLow,Medium,MediumLow,White
High,MediumLow,Medium,Medium,MediumHigh,MediumLow,High,White
MediumLow,Medium,MediumHigh,MediumHigh,High,MediumLow,High,White
MediumHigh,High,MediumHigh,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumLow,High,MediumHigh,Medium,High,MediumLow,MediumHigh,White
Medium,High,High,High,MediumLow,High,MediumLow,White
Medium,High,High,High,Medium,MediumHigh,MediumLow,White
MediumLow,MediumHigh,MediumHigh,High,Medium,Medium,Medium,White
MediumHigh,Medium,Medium,MediumLow,High,MediumHigh,Medium,Red
Medium,MediumLow,Medium,Medium,MediumHigh,MediumHigh,High,White
High,Medium,Medium,MediumHigh,MediumHigh,High,MediumHigh,White
MediumHigh,High,High,MediumHigh,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumLow,MediumHigh,MediumHigh,MediumLow,Medium,MediumHigh,White
High,Medium,Medium,MediumLow,Medium,MediumHigh,Medium,Red
Medium,MediumHigh,High,High,MediumLow,MediumLow,MediumLow,White
MediumHigh,MediumLow,MediumLow,MediumLow,MediumLow,Medium,Medium,White
Medium,High,MediumLow,MediumLow,MediumLow,MediumHigh,High,White
High,MediumHigh,MediumLow,MediumLow,MediumHigh,MediumHigh,MediumLow,Red
High,High,High,High,MediumLow,MediumHigh,MediumLow,White
High,Medium,MediumLow,MediumLow,MediumHigh,Medium,Medium,Red
High,MediumHigh,Medium,MediumLow,MediumLow,Medium,MediumHigh,White
MediumLow,MediumHigh,High,High,High,Medium,MediumHigh,White
High,High,Medium,Medium,MediumLow,MediumLow,High,White
High,High,MediumLow,MediumLow,MediumLow,MediumLow,High,White
MediumLow,High,MediumHigh,High,MediumHigh,Medium,MediumLow,White
MediumHigh,Medium,Medium,MediumHigh,MediumHigh,Medium,High,White
MediumLow,MediumHigh,MediumHigh,Medium,MediumHigh,MediumHigh,High,White
MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumHigh,MediumLow,High,White
High,MediumHigh,MediumHigh,High,Medium,MediumHigh,Medium,White
Medium,MediumHigh,MediumHigh,Medium,High,Medium,Medium,White
Medium,MediumLow,MediumHigh,MediumHigh,High,MediumHigh,Medium,White
High,High,High,High,MediumLow,MediumHigh,MediumLow,White
Medium,Medium,High,MediumHigh,MediumHigh,MediumLow,High,White
Medium,MediumHigh,MediumLow,Medium,MediumLow,MediumHigh,Medium,White
